Order_ID,Component_ID,Vendor_ID,Route_ID,Order_Date,Contractual_Delivery_Date,Actual_Delivery_Date,Delivered_Qty,Ordered_Qty,Price_per_Unit,Committed_Lead_Days,Actual_Lead_Days,Shortfall,Shortfall_flag,Delay_Indicator,Source,Destination,Mode,Avg_Transit_Days,Weather_Disruption_Index,Route Risk Score,Backup Route Availability,Peak_Congestion_Indicator,vendor_id,vendor_name,Reliability_score,avg_lead_days,past_incident_count,Quality_Rejection_Rate (%),Supplier_Dependency_Index,collaboration_tenure
O0036,C04,V005,R026,02-01-2002,30-01-2002,24-01-2002,129,750,65.2,28,22,621,1,0,Jaipur,Bangalore,Train,4,2,2.4,Yes,Medium,V005,Epsilon Corp,68,10,1,5,70,1
O0037,C05,V014,R026,03-01-2002,01-02-2002,10-02-2002,84,521,37,29,38,437,1,1,Jaipur,Bangalore,Train,4,2,2.4,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0038,C01,V013,R011,04-01-2002,11-02-2002,11-03-2002,217,219,25.5,38,66,2,1,1,Patna,Bangalore,Lorry,5,3.1,3.7,No,High,V013,Nu Logistics,77,6,3,6.5,77,5
O0039,C04,V001,R003,04-01-2002,21-02-2002,15-03-2002,50,283,65.2,48,70,233,1,1,Chennai,Bangalore,Flight,1,0.9,1.3,Yes,Low,V001,Alpha Metals,81,3,1,2.6,49,6
O0040,C02,V014,R027,04-01-2002,14-01-2002,13-01-2002,50,286,12.75,10,9,236,1,0,Pune,Bangalore,Lorry,4,2.1,2.6,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0041,C02,V005,R011,05-01-2002,20-02-2002,26-02-2002,50,237,12.75,46,52,187,1,1,Patna,Bangalore,Lorry,5,3.1,3.7,No,High,V005,Epsilon Corp,68,10,1,5,70,1
O0042,C03,V007,R013,06-01-2002,16-01-2002,11-02-2002,50,210,88,10,36,160,1,1,Thane,Bangalore,Lorry,4,2.5,2.9,No,Medium,V007,Eta Vendors,92,4,1,2.4,51,2
O0043,C01,V003,R014,06-01-2002,26-02-2002,17-03-2002,54,303,25.5,51,70,249,1,1,Vijayawada,Bangalore,Flight,2,0.8,1,No,Low,V003,Gamma Goods,71,8,1,4.7,47,7
O0044,C05,V013,R029,07-01-2002,10-02-2002,17-02-2002,146,233,37,34,41,87,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V013,Nu Logistics,77,6,3,6.5,77,5
O0045,C04,V014,R020,08-01-2002,25-02-2002,21-03-2002,50,633,65.2,48,72,583,1,1,Amritsar,Bangalore,Train,4,3,3.5,No,High,V014,Xi Exports,85,3,1,2.3,40,6
O0046,C04,V013,R014,09-01-2002,03-03-2002,29-03-2002,94,170,65.2,53,79,76,1,1,Vijayawada,Bangalore,Flight,2,0.8,1,No,Low,V013,Nu Logistics,77,6,3,6.5,77,5
O0047,C05,V011,R029,09-01-2002,22-01-2002,28-01-2002,105,297,37,13,19,192,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0048,C03,V008,R001,11-01-2002,02-02-2002,27-02-2002,50,302,88,22,47,252,1,1,Mumbai,Bangalore,Lorry,4,2.4,3.1,Yes,Medium,V008,Theta Supplies,72,3,0,4.3,35,4
O0049,C04,V008,R024,13-01-2002,30-01-2002,08-02-2002,86,291,65.2,17,26,205,1,1,Hyderabad,Bangalore,Lorry,4,2.3,2.8,Yes,Medium,V008,Theta Supplies,72,3,0,4.3,35,4
O0050,C02,V007,R006,14-01-2002,31-01-2002,26-02-2002,50,288,12.75,17,43,238,1,1,Jaipur,Bangalore,Flight,2,0.7,1.1,Yes,Low,V007,Eta Vendors,92,4,1,2.4,51,2
O0051,C05,V007,R015,14-01-2002,28-02-2002,11-03-2002,114,567,37,45,56,453,1,1,Nashik,Bangalore,Train,3,1.7,2.1,No,Medium,V007,Eta Vendors,92,4,1,2.4,51,2
O0052,C05,V014,R020,15-01-2002,14-02-2002,09-03-2002,234,322,37,30,53,88,1,1,Amritsar,Bangalore,Train,4,3,3.5,No,High,V014,Xi Exports,85,3,1,2.3,40,6
O0053,C05,V012,R026,16-01-2002,02-03-2002,24-03-2002,50,750,37,45,67,700,1,1,Jaipur,Bangalore,Train,4,2,2.4,Yes,Medium,V012,Mu Materials,50,11,5,6.7,80,4
O0054,C04,V007,R011,17-01-2002,24-02-2002,21-02-2002,50,227,65.2,38,35,177,1,0,Patna,Bangalore,Lorry,5,3.1,3.7,No,High,V007,Eta Vendors,92,4,1,2.4,51,2
O0055,C02,V010,R005,17-01-2002,13-03-2002,25-03-2002,221,622,12.75,55,67,401,1,1,Ahmedabad,Bangalore,Lorry,4,2.2,2.8,Yes,High,V010,Kappa Goods,63,8,4,6.1,86,2
O0056,C05,V005,R017,20-01-2002,21-03-2002,19-04-2002,750,750,37,60,89,0,0,1,Mysore,Bangalore,Flight,2,0.6,1,No,Low,V005,Epsilon Corp,68,10,1,5,70,1
O0057,C03,V001,R003,20-01-2002,19-02-2002,14-02-2002,50,228,88,30,25,178,1,0,Chennai,Bangalore,Flight,1,0.9,1.3,Yes,Low,V001,Alpha Metals,81,3,1,2.6,49,6
O0058,C05,V014,R029,23-01-2002,04-03-2002,21-03-2002,458,750,37,40,57,292,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0059,C05,V012,R028,24-01-2002,15-02-2002,04-03-2002,114,166,37,22,39,52,1,1,Bhopal,Bangalore,Flight,2,0.9,1.2,Yes,Low,V012,Mu Materials,50,11,5,6.7,80,4
O0060,C02,V008,R027,25-01-2002,10-02-2002,25-02-2002,50,266,12.75,16,31,216,1,1,Pune,Bangalore,Lorry,4,2.1,2.6,Yes,Medium,V008,Theta Supplies,72,3,0,4.3,35,4
O0061,C02,V015,R022,26-01-2002,12-02-2002,12-02-2002,354,750,12.75,17,17,396,1,1,Delhi,Bangalore,Flight,2,1,1.2,Yes,Low,V015,Omicron Co.,81,3,0,4.4,69,7
O0062,C05,V015,R019,26-01-2002,05-02-2002,21-02-2002,233,281,37,10,26,48,1,1,Coimbatore,Bangalore,Lorry,3,2.3,2.6,No,Medium,V015,Omicron Co.,81,3,0,4.4,69,7
O0063,C02,V010,R024,26-01-2002,17-02-2002,26-02-2002,50,74,12.75,22,31,24,1,1,Hyderabad,Bangalore,Lorry,4,2.3,2.8,Yes,Medium,V010,Kappa Goods,63,8,4,6.1,86,2
O0064,C05,V011,R030,28-01-2002,19-02-2002,16-03-2002,50,459,37,22,47,409,1,1,Lucknow,Bangalore,Train,4,2.2,2.5,Yes,Medium,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0065,C05,V013,R015,30-01-2002,01-04-2002,26-03-2002,126,229,37,61,55,103,1,0,Nashik,Bangalore,Train,3,1.7,2.1,No,Medium,V013,Nu Logistics,77,6,3,6.5,77,5
O0066,C02,V011,R004,01-02-2002,10-03-2002,22-03-2002,113,264,12.75,37,49,151,1,1,Hyderabad,Bangalore,Train,3,1.8,2.1,Yes,Medium,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0067,C01,V003,R006,03-02-2002,23-03-2002,31-03-2002,50,422,25.5,48,56,372,1,1,Jaipur,Bangalore,Flight,2,0.7,1.1,Yes,Low,V003,Gamma Goods,71,8,1,4.7,47,7
O0068,C01,V003,R021,04-02-2002,20-02-2002,28-02-2002,470,750,25.5,16,24,280,1,1,Mumbai,Bangalore,Train,3,2.2,2.9,Yes,Medium,V003,Gamma Goods,71,8,1,4.7,47,7
O0069,C05,V014,R029,04-02-2002,04-04-2002,11-04-2002,50,750,37,59,66,700,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0070,C02,V002,R012,07-02-2002,13-04-2002,03-04-2002,72,384,12.75,65,55,312,1,0,Indore,Bangalore,Train,3,2,2.2,No,Medium,V002,Beta Supplies,76,9,4,4.2,64,1
O0071,C03,V006,R014,08-02-2002,29-03-2002,03-04-2002,50,305,88,49,54,255,1,1,Vijayawada,Bangalore,Flight,2,0.8,1,No,Low,V006,Zeta Imports,87,7,1,6,66,2
O0072,C05,V004,R011,09-02-2002,16-02-2002,19-02-2002,351,476,37,7,10,125,1,1,Patna,Bangalore,Lorry,5,3.1,3.7,No,High,V004,Delta Traders,92,3,2,1,35,3
O0073,C02,V012,R023,09-02-2002,24-02-2002,05-03-2002,50,240,12.75,15,24,190,1,1,Chennai,Bangalore,Train,4,1.9,2.1,Yes,Medium,V012,Mu Materials,50,11,5,6.7,80,4
O0074,C05,V014,R020,10-02-2002,01-04-2002,09-04-2002,537,750,37,50,58,213,1,1,Amritsar,Bangalore,Train,4,3,3.5,No,High,V014,Xi Exports,85,3,1,2.3,40,6
O0075,C05,V007,R009,11-02-2002,18-03-2002,05-04-2002,201,208,37,35,53,7,1,1,Surat,Bangalore,Train,4,2.1,2.5,Yes,Medium,V007,Eta Vendors,92,4,1,2.4,51,2
O0076,C01,V002,R029,11-02-2002,22-02-2002,21-03-2002,50,253,25.5,11,38,203,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V002,Beta Supplies,76,9,4,4.2,64,1
O0077,C02,V011,R011,12-02-2002,28-03-2002,05-04-2002,224,245,12.75,44,52,21,1,1,Patna,Bangalore,Lorry,5,3.1,3.7,No,High,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0078,C05,V012,R015,13-02-2002,18-03-2002,12-03-2002,58,750,37,33,27,692,1,0,Nashik,Bangalore,Train,3,1.7,2.1,No,Medium,V012,Mu Materials,50,11,5,6.7,80,4
O0079,C02,V003,R003,13-02-2002,04-04-2002,30-04-2002,205,268,12.75,50,76,63,1,1,Chennai,Bangalore,Flight,1,0.9,1.3,Yes,Low,V003,Gamma Goods,71,8,1,4.7,47,7
O0080,C05,V009,R018,13-02-2002,15-03-2002,14-03-2002,273,300,37,30,29,27,1,0,Rajkot,Bangalore,Train,4,2.2,2.5,No,Medium,V009,Iota Traders,64,6,1,8.1,80,1
O0081,C05,V014,R028,16-02-2002,27-03-2002,31-03-2002,126,750,37,39,43,624,1,1,Bhopal,Bangalore,Flight,2,0.9,1.2,Yes,Low,V014,Xi Exports,85,3,1,2.3,40,6
O0082,C05,V010,R026,17-02-2002,02-03-2002,30-03-2002,50,750,37,13,41,700,1,1,Jaipur,Bangalore,Train,4,2,2.4,Yes,Medium,V010,Kappa Goods,63,8,4,6.1,86,2
O0083,C02,V013,R005,18-02-2002,24-03-2002,28-03-2002,50,235,12.75,34,38,185,1,1,Ahmedabad,Bangalore,Lorry,4,2.2,2.8,Yes,High,V013,Nu Logistics,77,6,3,6.5,77,5
O0084,C03,V002,R012,19-02-2002,04-04-2002,20-04-2002,50,276,88,44,60,226,1,1,Indore,Bangalore,Train,3,2,2.2,No,Medium,V002,Beta Supplies,76,9,4,4.2,64,1
O0085,C05,V004,R030,21-02-2002,19-04-2002,04-05-2002,291,733,37,57,72,442,1,1,Lucknow,Bangalore,Train,4,2.2,2.5,Yes,Medium,V004,Delta Traders,92,3,2,1,35,3
O0086,C03,V014,R029,23-02-2002,17-03-2002,09-04-2002,206,333,88,22,45,127,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0087,C05,V014,R018,23-02-2002,28-03-2002,22-03-2002,265,597,37,33,27,332,1,0,Rajkot,Bangalore,Train,4,2.2,2.5,No,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0088,C01,V001,R024,24-02-2002,13-03-2002,21-03-2002,248,750,25.5,17,25,502,1,1,Hyderabad,Bangalore,Lorry,4,2.3,2.8,Yes,Medium,V001,Alpha Metals,81,3,1,2.6,49,6
O0089,C04,V005,R025,26-02-2002,18-04-2002,28-04-2002,50,457,65.2,51,61,407,1,1,Ahmedabad,Bangalore,Flight,2,0.7,1.1,Yes,Low,V005,Epsilon Corp,68,10,1,5,70,1
O0090,C02,V011,R016,26-02-2002,20-04-2002,11-05-2002,114,379,12.75,53,74,265,1,1,Jodhpur,Bangalore,Lorry,4,2.6,3.3,No,High,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0091,C01,V013,R006,26-02-2002,12-03-2002,18-03-2002,174,214,25.5,14,20,40,1,1,Jaipur,Bangalore,Flight,2,0.7,1.1,Yes,Low,V013,Nu Logistics,77,6,3,6.5,77,5
O0092,C05,V009,R022,26-02-2002,05-04-2002,02-05-2002,542,607,37,38,65,65,1,1,Delhi,Bangalore,Flight,2,1,1.2,Yes,Low,V009,Iota Traders,64,6,1,8.1,80,1
O0093,C03,V014,R015,27-02-2002,23-04-2002,22-04-2002,50,156,88,55,54,106,1,0,Nashik,Bangalore,Train,3,1.7,2.1,No,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0094,C04,V012,R029,27-02-2002,14-03-2002,03-04-2002,59,181,65.2,15,35,122,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V012,Mu Materials,50,11,5,6.7,80,4
O0095,C01,V014,R028,28-02-2002,01-04-2002,23-03-2002,200,580,25.5,32,23,380,1,0,Bhopal,Bangalore,Flight,2,0.9,1.2,Yes,Low,V014,Xi Exports,85,3,1,2.3,40,6
O0096,C03,V004,R007,01-03-2002,23-03-2002,15-03-2002,103,138,88,22,14,35,1,0,Pune,Bangalore,Train,3,1.9,2.4,Yes,Medium,V004,Delta Traders,92,3,2,1,35,3
O0097,C03,V008,R021,04-03-2002,17-03-2002,18-03-2002,50,121,88,13,14,71,1,1,Mumbai,Bangalore,Train,3,2.2,2.9,Yes,Medium,V008,Theta Supplies,72,3,0,4.3,35,4
O0098,C03,V013,R029,04-03-2002,05-04-2002,01-05-2002,50,82,88,32,58,32,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V013,Nu Logistics,77,6,3,6.5,77,5
O0099,C04,V005,R025,05-03-2002,23-04-2002,23-05-2002,195,718,65.2,49,79,523,1,1,Ahmedabad,Bangalore,Flight,2,0.7,1.1,Yes,Low,V005,Epsilon Corp,68,10,1,5,70,1
O0100,C03,V001,R023,06-03-2002,11-04-2002,04-05-2002,50,261,88,36,59,211,1,1,Chennai,Bangalore,Train,4,1.9,2.1,Yes,Medium,V001,Alpha Metals,81,3,1,2.6,49,6
O0101,C01,V003,R005,06-03-2002,22-03-2002,18-04-2002,50,436,25.5,16,43,386,1,1,Ahmedabad,Bangalore,Lorry,4,2.2,2.8,Yes,High,V003,Gamma Goods,71,8,1,4.7,47,7
O0102,C04,V014,R018,12-03-2002,16-05-2002,08-05-2002,50,379,65.2,65,57,329,1,0,Rajkot,Bangalore,Train,4,2.2,2.5,No,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0103,C05,V014,R029,14-03-2002,27-04-2002,15-05-2002,434,592,37,44,62,158,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V014,Xi Exports,85,3,1,2.3,40,6
O0104,C01,V003,R016,14-03-2002,14-04-2002,13-05-2002,192,305,25.5,31,60,113,1,1,Jodhpur,Bangalore,Lorry,4,2.6,3.3,No,High,V003,Gamma Goods,71,8,1,4.7,47,7
O0105,C01,V002,R026,15-03-2002,30-03-2002,04-04-2002,50,336,25.5,15,20,286,1,1,Jaipur,Bangalore,Train,4,2,2.4,Yes,Medium,V002,Beta Supplies,76,9,4,4.2,64,1
O0106,C05,V003,R002,15-03-2002,24-04-2002,18-05-2002,74,245,37,40,64,171,1,1,Delhi,Bangalore,Train,3,2.1,2.6,Yes,Low,V003,Gamma Goods,71,8,1,4.7,47,7
O0107,C03,V010,R008,17-03-2002,10-04-2002,27-04-2002,50,50,88,24,41,0,0,1,Bhopal,Bangalore,Lorry,3,2,2.6,Yes,Medium,V010,Kappa Goods,63,8,4,6.1,86,2
O0108,C04,V009,R024,18-03-2002,28-03-2002,08-04-2002,101,208,65.2,10,21,107,1,1,Hyderabad,Bangalore,Lorry,4,2.3,2.8,Yes,Medium,V009,Iota Traders,64,6,1,8.1,80,1
O0109,C01,V001,R007,18-03-2002,06-04-2002,27-03-2002,50,350,25.5,19,9,300,1,0,Pune,Bangalore,Train,3,1.9,2.4,Yes,Medium,V001,Alpha Metals,81,3,1,2.6,49,6
O0110,C05,V014,R002,19-03-2002,10-04-2002,01-04-2002,50,229,37,22,13,179,1,0,Delhi,Bangalore,Train,3,2.1,2.6,Yes,Low,V014,Xi Exports,85,3,1,2.3,40,6
O0111,C03,V009,R007,20-03-2002,28-03-2002,15-04-2002,137,750,88,8,26,613,1,1,Pune,Bangalore,Train,3,1.9,2.4,Yes,Medium,V009,Iota Traders,64,6,1,8.1,80,1
O0112,C02,V011,R017,20-03-2002,22-05-2002,13-05-2002,87,340,12.75,63,54,253,1,0,Mysore,Bangalore,Flight,2,0.6,1,No,Low,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0113,C03,V004,R025,22-03-2002,06-04-2002,04-05-2002,122,651,88,15,43,529,1,1,Ahmedabad,Bangalore,Flight,2,0.7,1.1,Yes,Low,V004,Delta Traders,92,3,2,1,35,3
O0114,C03,V007,R021,22-03-2002,21-04-2002,05-05-2002,50,273,88,30,44,223,1,1,Mumbai,Bangalore,Train,3,2.2,2.9,Yes,Medium,V007,Eta Vendors,92,4,1,2.4,51,2
O0115,C03,V006,R021,24-03-2002,27-04-2002,30-04-2002,50,114,88,34,37,64,1,1,Mumbai,Bangalore,Train,3,2.2,2.9,Yes,Medium,V006,Zeta Imports,87,7,1,6,66,2
O0116,C05,V010,R012,25-03-2002,09-05-2002,28-05-2002,697,750,37,45,64,53,1,1,Indore,Bangalore,Train,3,2,2.2,No,Medium,V010,Kappa Goods,63,8,4,6.1,86,2
O0117,C04,V001,R002,25-03-2002,03-06-2002,24-05-2002,50,305,65.2,70,60,255,1,0,Delhi,Bangalore,Train,3,2.1,2.6,Yes,Low,V001,Alpha Metals,81,3,1,2.6,49,6
O0118,C05,V003,R007,25-03-2002,12-05-2002,23-05-2002,93,750,37,48,59,657,1,1,Pune,Bangalore,Train,3,1.9,2.4,Yes,Medium,V003,Gamma Goods,71,8,1,4.7,47,7
O0119,C04,V005,R022,26-03-2002,03-05-2002,22-05-2002,213,750,65.2,38,57,537,1,1,Delhi,Bangalore,Flight,2,1,1.2,Yes,Low,V005,Epsilon Corp,68,10,1,5,70,1
O0120,C03,V008,R028,26-03-2002,21-04-2002,28-04-2002,377,750,88,26,33,373,1,1,Bhopal,Bangalore,Flight,2,0.9,1.2,Yes,Low,V008,Theta Supplies,72,3,0,4.3,35,4
O0121,C01,V001,R006,26-03-2002,02-06-2002,23-05-2002,50,178,25.5,68,58,128,1,0,Jaipur,Bangalore,Flight,2,0.7,1.1,Yes,Low,V001,Alpha Metals,81,3,1,2.6,49,6
O0122,C03,V003,R008,29-03-2002,20-04-2002,19-04-2002,94,551,88,22,21,457,1,0,Bhopal,Bangalore,Lorry,3,2,2.6,Yes,Medium,V003,Gamma Goods,71,8,1,4.7,47,7
O0123,C03,V001,R029,30-03-2002,07-05-2002,21-05-2002,87,502,88,38,52,415,1,1,Surat,Bangalore,Lorry,4,2.4,2.9,Yes,Medium,V001,Alpha Metals,81,3,1,2.6,49,6
O0124,C01,V011,R016,30-03-2002,26-04-2002,10-05-2002,50,123,25.5,27,41,73,1,1,Jodhpur,Bangalore,Lorry,4,2.6,3.3,No,High,V011,Lambda Ltd.,71,5,0,1.5,58,5
O0125,C05,V005,R009,01-04-2002,13-04-2002,30-04-2002,162,391,37,12,29,229,1,1,Surat,Bangalore,Train,4,2.1,2.5,Yes,Medium,V005,Epsilon Corp,68,10,1,5,70,1
